Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1/2"" x 2 1/2"" MACHINE BOLT A325 w/ (1) ASTM A563-Gr.DH HEAVY HEX NUT, & (1) LOCK WASHER EACH, ZINC PLATED.",2,$42.0,,$84.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 8 1/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$43.0,,$86.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 7 1/2"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN    ",2,$44.0,,$88.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 7 1/2"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",8,$45.0,,$360.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 7 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN    ",2,$46.0,,$92.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 3"" MACHINE BOLT A325 w/ (1) ASTM A563-Gr.DH HEAVY HEX NUT, & (1) LOCK WASHER EACH, ZINC PLATED.",6,$47.0,,$282.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1"" x 10 1/2"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$48.0,,$96.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 3/8"" x 9 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN      ",10,$49.0,,$490.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 9 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN   ",4,$50.0,,$200.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 8 3/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$51.0,,$102.0,6.3330%
